Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL,META,META,META,META,META,GOOG,GOOG,GOOG,GOOG,GOOG,NFLX,NFLX,NFLX,NFLX,NFLX
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-10 14:30:00+00:00,248.30999755859375,251.75,247.99000549316406,248.02999877929688,7213922,268.95001220703125,273.7300109863281,268.95001220703125,271.85699462890625,7030981,631.3900146484375,634.9600219726562,623.2999877929688,633.83740234375,3873187,285.2099914550781,290.42999267578125,283.5400085449219,288.7200012207031,4164797,110.70999908447266,112.8189926147461,110.41130065917969,112.47950744628906,720526
2025-11-10 15:30:00+00:00,248.0211944580078,248.08999633789062,245.58999633789062,246.3800048828125,3238084,271.8299865722656,271.989990234375,269.04998779296875,269.06640625,3083676,633.6300048828125,633.8800048828125,626.489990234375,630.4099731445312,1532229,288.7049865722656,289.2698974609375,286.19000244140625,286.96551513671875,1570763,112.4800033569336,112.71549987792969,111.46299743652344,111.66300201416016,257424
2025-11-10 16:30:00+00:00,246.33999633789062,247.44500732421875,246.0,247.10499572753906,2393779,269.0400085449219,269.7587890625,268.489990234375,269.0799865722656,2346213,630.4099731445312,634.4600219726562,630.2999877929688,633.864990234375,1088389,286.94500732421875,287.5799865722656,286.2001037597656,287.30999755859375,892605,111.66300201416016,112.2249984741211,111.6249771118164,111.6839828491211,175811
2025-11-10 17:30:00+00:00,247.10499572753906,248.89999389648438,247.0955047607422,248.6300048828125,1959822,269.07000732421875,270.2300109863281,269.010009765625,269.7300109863281,1807442,633.9299926757812,635.0,632.3300170898438,632.8400268554688,879505,287.3399963378906,289.3299865722656,287.260009765625,288.8399963378906,743976,111.66664123535156,111.87271881103516,111.43299865722656,111.56300354003906,162437
2025-11-10 18:30:00+00:00,248.6529998779297,248.95640563964844,248.47000122070312,248.7698974609375,1461943,269.7099914550781,270.3077087402344,267.4549865722656,269.6600036621094,3188667,632.8400268554688,634.6500244140625,632.010009765625,632.780029296875,781607,288.8699951171875,291.42999267578125,288.8500061035156,291.1000061035156,1315791,111.56500244140625,111.81800842285156,111.52900695800781,111.55999755859375,171050
2025-11-10 19:30:00+00:00,248.7449951171875,248.83999633789062,248.1750030517578,248.27000427246094,1829109,269.6300048828125,269.80999755859375,269.04998779296875,269.11859130859375,2248210,632.7650146484375,634.27001953125,631.989990234375,632.6320190429688,871980,291.0899963378906,291.4595031738281,290.4200134277344,290.55999755859375,1095959,111.55400085449219,112.447998046875,111.2560043334961,112.06599426269531,256469
2025-11-10 20:30:00+00:00,248.25999450683594,249.22999572753906,247.89999389648438,248.41000366210938,11095457,269.1000061035156,269.6000061035156,268.760009765625,269.3599853515625,2892894,632.6699829101562,634.72998046875,631.260009765625,631.77001953125,1488867,290.5400085449219,291.2388000488281,290.42999267578125,290.5899963378906,1716713,112.05000305175781,112.39200592041016,111.90299987792969,112.01899719238281,308211
2025-11-11 14:30:00+00:00,248.44500732421875,249.62989807128906,247.8300018310547,248.46780395507812,3730327,269.80999755859375,274.739990234375,269.79998779296875,274.1000061035156,9244708,628.125,629.5599975585938,621.8101196289062,622.3699951171875,2509903,288.20001220703125,291.6940002441406,287.8800048828125,289.4599914550781,2757570,111.875,113.56800842285156,111.2800064086914,112.35099792480469,559122
