Ticker,NFLX,NFLX,NFLX,NFLX,NFLX,GOOG,GOOG,GOOG,GOOG,GOOG,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL,META,META,META,META,META
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-22 13:30:00+00:00,1143.3599853515625,1157.5,1122.3900146484375,1122.72998046875,5915248,255.0399932861328,257.0799865722656,253.6649932861328,253.89999389648438,5033181,219.42999267578125,220.0050048828125,217.3300018310547,217.4499969482422,10490922,262.7900085449219,262.8500061035156,259.7200012207031,260.0498962402344,9155667,733.4000244140625,740.5900268554688,731.0590209960938,732.3400268554688,2161926
2025-10-22 14:30:00+00:00,1123.280029296875,1125.469970703125,1114.6500244140625,1117.4200439453125,2607312,253.9250030517578,257.17999267578125,252.8699951171875,253.67999267578125,3974722,217.43800354003906,218.9600067138672,216.91000366210938,218.73989868164062,6425894,260.0,261.1300048828125,257.6401062011719,258.4299011230469,5930214,732.5499877929688,736.6334838867188,729.6300048828125,729.6300048828125,1388235
2025-10-22 15:30:00+00:00,1117.385009765625,1124.52001953125,1115.783447265625,1119.0150146484375,1299285,253.72000122070312,254.8300018310547,252.27999877929688,252.4600067138672,2073807,218.74000549316406,219.75999450683594,218.3800048828125,218.97000122070312,3499390,258.45001220703125,259.489990234375,258.04998779296875,258.54998779296875,3763921,729.6599731445312,733.4600219726562,728.3400268554688,730.02001953125,645997
2025-10-22 16:30:00+00:00,1118.9200439453125,1119.5399169921875,1112.51904296875,1115.4449462890625,1209837,252.41000366210938,252.77000427246094,250.4510040283203,251.58999633789062,1843035,218.9600067138672,219.05999755859375,217.47999572753906,217.8000030517578,4014663,258.54998779296875,258.7699890136719,256.29998779296875,256.69140625,4679141,730.510009765625,730.7100219726562,724.8699951171875,727.1699829101562,682730
2025-10-22 17:30:00+00:00,1115.43994140625,1123.6800537109375,1114.5,1123.3599853515625,1022550,251.5800018310547,252.22000122070312,250.62420654296875,251.97109985351562,1352067,217.78500366210938,217.80999755859375,216.52000427246094,217.30499267578125,4435868,256.6700134277344,257.0798034667969,255.42999267578125,256.5509948730469,4221043,726.6400146484375,729.1799926757812,724.030029296875,728.9276733398438,629279
2025-10-22 18:30:00+00:00,1123.1400146484375,1125.8499755859375,1115.5999755859375,1116.2950439453125,964885,251.97000122070312,252.75999450683594,251.57640075683594,252.44000244140625,1246308,217.30499267578125,218.3300018310547,217.00999450683594,218.27000427246094,3707985,256.54998779296875,257.67999267578125,256.1400146484375,257.510009765625,3195141,728.9450073242188,732.8400268554688,728.5,732.510009765625,849802
2025-10-22 19:30:00+00:00,1116.5400390625,1121.4722900390625,1115.157958984375,1116.68994140625,1005395,252.39999389648438,252.75999450683594,251.67999267578125,252.52000427246094,1323816,218.2899932861328,218.3800048828125,217.54100036621094,217.97000122070312,3486824,257.5199890136719,258.80999755859375,257.42999267578125,258.42999267578125,4263522,732.510009765625,733.7000122070312,732.25,733.2999877929688,723970
2025-10-23 13:30:00+00:00,1126.9000244140625,1127.8284912109375,1106.8900146484375,1110.844970703125,2028338,253.85000610351562,255.86000061035156,252.76829528808594,254.6300048828125,2944025,218.94500732421875,220.80999755859375,218.17999267578125,219.88560485839844,7973740,259.8900146484375,260.1799011230469,258.0101013183594,259.4798889160156,6251007,734.7000122070312,742.4099731445312,733.47998046875,739.5,2157239
