Ticker,NFLX,NFLX,NFLX,NFLX,NFLX,GOOG,GOOG,GOOG,GOOG,GOOG,META,META,META,META,META,AAPL,AAPL,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,AMZN,AMZN
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-24 13:30:00+00:00,1111.0,1114.5,1096.4749755859375,1108.703125,1731700,257.29998779296875,262.510009765625,256.1000061035156,261.1499938964844,5691820,737.3200073242188,739.280029296875,732.2000122070312,736.2949829101562,2288601,261.19000244140625,261.6199951171875,259.17999267578125,260.94140625,7287527,221.97000122070312,224.63999938964844,221.89999389648438,223.47999572753906,9977748
2025-10-24 14:30:00+00:00,1108.9798583984375,1108.9798583984375,1094.510009765625,1098.5152587890625,993238,261.1499938964844,261.4649963378906,259.6499938964844,261.2349853515625,2223302,736.0999755859375,737.27001953125,731.1500244140625,733.6500244140625,1244080,260.94000244140625,263.3599853515625,260.7900085449219,263.2799987792969,5490920,223.47000122070312,224.07000732421875,222.8704071044922,223.7899932861328,5240667
2025-10-24 15:30:00+00:00,1098.75,1102.7799072265625,1095.1099853515625,1102.2320556640625,634239,261.260009765625,261.6300048828125,260.6300048828125,261.4150085449219,1411885,733.7899780273438,734.8087158203125,731.580078125,734.2050170898438,1087570,263.2900085449219,264.0299987792969,262.95001220703125,263.5799865722656,4458666,223.8000030517578,224.83880615234375,223.47000122070312,224.76519775390625,4956732
2025-10-24 16:30:00+00:00,1102.385009765625,1105.7498779296875,1102.1728515625,1102.250244140625,504246,261.4100036621094,262.2200012207031,261.0,261.80999755859375,1467413,734.3511962890625,737.6699829101562,734.3511962890625,737.34228515625,740572,263.5899963378906,263.7099914550781,262.8500061035156,263.6099853515625,2930456,224.75,225.25999450683594,224.5,224.83999633789062,3541318
2025-10-24 17:30:00+00:00,1102.4200439453125,1103.4998779296875,1099.75,1101.5,378292,261.7929992675781,262.25,261.57501220703125,262.0,1139624,737.4500122070312,738.9099731445312,736.6900024414062,738.531005859375,714355,263.6099853515625,264.1300048828125,263.4100036621094,264.0199890136719,2843868,224.83999633789062,225.39999389648438,224.63499450683594,224.85000610351562,2893965
2025-10-24 18:30:00+00:00,1101.800048828125,1102.3599853515625,1098.260009765625,1099.699951171875,491231,262.0400085449219,262.1300048828125,261.1000061035156,261.2438049316406,1122818,738.5850219726562,741.2100219726562,738.280029296875,739.3300170898438,1052833,264.0249938964844,264.1000061035156,263.1499938964844,263.5,3187549,224.85499572753906,224.92999267578125,224.0800018310547,224.3350067138672,3037636
2025-10-24 19:30:00+00:00,1099.4000244140625,1099.5,1094.4100341796875,1094.6800537109375,724433,261.2200012207031,261.34259033203125,260.29998779296875,260.5150146484375,2671214,739.2000122070312,739.60498046875,736.6599731445312,738.510009765625,922328,263.510009765625,263.6600036621094,262.1300048828125,262.739990234375,4742484,224.3300018310547,224.6699981689453,224.08999633789062,224.25999450683594,4094096
2025-10-27 13:30:00+00:00,1100.6700439453125,1100.6700439453125,1087.300048828125,1094.9599609375,1483810,265.364990234375,267.3399963378906,264.94000244140625,265.6400146484375,5470537,749.5700073242188,755.739990234375,748.530029296875,753.2777709960938,2857490,264.8800048828125,267.04998779296875,264.65008544921875,265.7300109863281,9319511,227.80999755859375,228.39999389648438,226.52000427246094,227.35279846191406,9051670
