Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,META,META,META,META,META,NFLX,NFLX,NFLX,NFLX,NFLX,AAPL,AAPL,AAPL,AAPL,AAPL,GOOG,GOOG,GOOG,GOOG,GOOG
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-01 14:30:00+00:00,233.21499633789062,235.7969970703125,232.60000610351562,232.8800048828125,7486323,639.5449829101562,645.2949829101562,637.760009765625,639.4949951171875,2268278,106.5,108.43000030517578,106.30999755859375,107.91000366210938,3141668,278.1499938964844,278.7699890136719,276.1400146484375,278.14208984375,5114373,317.2699890136719,319.6300048828125,314.4100036621094,317.010009765625,5378317
2025-12-01 15:30:00+00:00,232.8699951171875,234.3614044189453,232.25,233.97000122070312,3030989,639.4400024414062,642.7694702148438,638.4000244140625,642.7349853515625,1215559,107.90499877929688,108.73999786376953,107.72000122070312,108.38009643554688,1918590,278.1000061035156,278.4801025390625,277.30499267578125,277.9200134277344,1731132,316.9800109863281,318.6300048828125,315.4700012207031,316.81500244140625,1936805
2025-12-01 16:30:00+00:00,233.97000122070312,234.47000122070312,233.88999938964844,234.36500549316406,2172750,642.780029296875,644.8599853515625,642.6099853515625,643.510009765625,522420,108.4000015258789,108.80500030517578,108.30999755859375,108.55999755859375,1236410,277.8999938964844,279.8900146484375,277.8900146484375,279.7705078125,2091919,316.9049987792969,318.3299865722656,316.78009033203125,317.82501220703125,1200955
2025-12-01 17:30:00+00:00,234.36000061035156,235.22999572753906,234.16000366210938,234.96009826660156,2276578,643.530029296875,644.239990234375,641.4400024414062,641.6749877929688,518315,108.55999755859375,109.13999938964844,108.4749984741211,108.90660095214844,1329305,279.7749938964844,280.6400146484375,279.4599914550781,280.58819580078125,2222347,317.80999755859375,318.4779968261719,317.2250061035156,317.2817077636719,1157280
2025-12-01 18:30:00+00:00,234.97999572753906,235.49000549316406,234.0989990234375,234.17999267578125,2549868,641.6799926757812,643.1500244140625,641.2000122070312,642.3380126953125,639386,108.9000015258789,108.93000030517578,108.52999877929688,108.61000061035156,984482,280.590087890625,281.2200012207031,280.45001220703125,280.8900146484375,2919865,317.32000732421875,317.989990234375,315.9117126464844,316.2300109863281,1335415
2025-12-01 19:30:00+00:00,234.16000366210938,234.55999755859375,233.52000427246094,234.4781951904297,2132741,642.2999877929688,642.3800048828125,639.260009765625,641.2349853515625,717898,108.5999984741211,109.18000030517578,108.44000244140625,109.05999755859375,1425883,280.8800048828125,281.94000244140625,280.7099914550781,281.9100036621094,2916696,316.239990234375,316.8346862792969,315.510009765625,316.71990966796875,1291824
2025-12-01 20:30:00+00:00,234.49000549316406,234.5500030517578,233.3300018310547,233.9499969482422,2877925,641.2650146484375,642.4000244140625,639.6599731445312,640.9099731445312,999967,109.05500030517578,109.33000183105469,108.73580169677734,109.19000244140625,2409885,281.9200134277344,283.4100036621094,281.7300109863281,283.32000732421875,5357873,316.69000244140625,316.75,314.0400085449219,315.2300109863281,2541283
2025-12-02 14:30:00+00:00,234.6300048828125,235.77000427246094,234.0399932861328,234.72000122070312,7353094,642.5850219726562,643.8790893554688,638.0700073242188,642.2525024414062,1873238,109.20500183105469,109.20999908447266,107.94999694824219,108.16500091552734,3856657,283.0,285.3089904785156,282.6300964355469,284.57000732421875,7878173,316.8999938964844,318.6000061035156,314.7070007324219,316.5769958496094,3727937
