Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,NFLX,NFLX,NFLX,NFLX,NFLX,GOOG,GOOG,GOOG,GOOG,GOOG,META,META,META,META,META,AMZN,AMZN,AMZN,AMZN,AMZN
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-11 14:30:00+00:00,269.80999755859375,274.739990234375,269.79998779296875,274.1000061035156,9244708,111.875,113.56800842285156,111.2800064086914,112.35099792480469,559122,288.20001220703125,291.6940002441406,287.8800048828125,289.4599914550781,2757570,628.125,629.5599975585938,621.8101196289062,622.3699951171875,2509903,248.44500732421875,249.62989807128906,247.8300018310547,248.46780395507812,3730327
2025-11-11 15:30:00+00:00,274.1000061035156,274.3460998535156,272.42999267578125,272.5,3452496,112.33299255371094,112.89200592041016,112.25699615478516,112.5060043334961,176573,289.4049987792969,290.3550109863281,288.7900085449219,289.1499938964844,975039,622.3651123046875,623.9600219726562,619.4000244140625,622.3699951171875,1416358,248.4573974609375,248.9600067138672,247.5449981689453,247.5800018310547,2380534
2025-11-11 16:30:00+00:00,272.510009765625,273.614990234375,271.7799987792969,273.31500244140625,2525614,112.49949645996094,112.55899810791016,111.88999938964844,112.41899108886719,181061,289.17999267578125,290.6000061035156,288.7699890136719,290.0199890136719,831517,622.4000244140625,625.5999755859375,621.732177734375,623.3800048828125,846209,247.60000610351562,248.47999572753906,247.22999572753906,248.26829528808594,1320221
2025-11-11 17:30:00+00:00,273.3299865722656,274.70001220703125,273.0299987792969,274.4800109863281,2634766,112.40699768066406,113.19999694824219,112.40699768066406,113.0689926147461,208729,290.0299987792969,290.20001220703125,289.2699890136719,289.7900085449219,614277,623.3699951171875,624.64990234375,623.2800903320312,624.1300048828125,657328,248.2736053466797,249.38999938964844,248.0,249.3260040283203,1560683
2025-11-11 18:30:00+00:00,274.489990234375,275.6600036621094,274.1600036621094,275.32000732421875,3455305,113.08199310302734,113.5999984741211,113.06099700927734,113.2750015258789,212113,289.79998779296875,291.69000244140625,289.4200134277344,290.5899963378906,1003383,624.1300048828125,626.1500244140625,623.4000244140625,625.02001953125,783117,249.30999755859375,249.74989318847656,249.1042938232422,249.3699951171875,1357003
2025-11-11 19:30:00+00:00,275.3299865722656,275.760009765625,275.04998779296875,275.25,2653431,113.2729263305664,113.74998474121094,113.23199462890625,113.65400695800781,195835,290.5899963378906,291.3399963378906,290.5299987792969,291.2099914550781,756962,625.1500244140625,626.8400268554688,625.0,626.6500244140625,653056,249.42999267578125,249.5,248.82000732421875,248.8800048828125,1253534
2025-11-11 20:30:00+00:00,275.239990234375,275.8450012207031,274.79998779296875,275.29998779296875,4039713,113.65899658203125,113.92198181152344,113.49000549316406,113.65999603271484,966986,291.2300109863281,292.3399963378906,291.080810546875,291.7099914550781,1643758,626.5599975585938,628.0,626.1801147460938,627.1799926757812,1018218,248.8699951171875,249.47000122070312,248.75,249.13999938964844,1833631
2025-11-12 14:30:00+00:00,275.07501220703125,275.239990234375,271.8699951171875,272.94000244140625,10718425,113.81700134277344,114.15299987792969,112.8270034790039,113.90799713134766,409424,292.1700134277344,292.2699890136719,286.20001220703125,287.5199890136719,3474571,628.405029296875,628.989990234375,614.0,614.5900268554688,4427247,250.18499755859375,250.3699951171875,245.5500030517578,245.9250030517578,5045151
