Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,GOOG,GOOG,GOOG,GOOG,GOOG,NFLX,NFLX,NFLX,NFLX,NFLX,AMZN,AMZN,AMZN,AMZN,AMZN,META,META,META,META,META
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-24 13:30:00+00:00,255.0,255.3699951171875,252.0800018310547,252.6219940185547,6502958,252.25,252.57000732421875,248.8000030517578,250.11990356445312,3058924,1221.0,1221.5,1210.219970703125,1210.735595703125,325687,224.0,224.0,221.13009643554688,221.13999938964844,9175073,760.0,760.489990234375,753.4197998046875,757.1799926757812,1609694
2025-09-24 14:30:00+00:00,252.625,252.99000549316406,251.5399932861328,252.1199951171875,3291728,250.08999633789062,250.94000244140625,249.66000366210938,250.33999633789062,1097733,1210.1199951171875,1211.5,1197.1717529296875,1197.5400390625,233121,221.1199951171875,221.8300018310547,220.310302734375,221.139892578125,4483547,757.0499877929688,759.9199829101562,755.2000122070312,757.739990234375,825114
2025-09-24 15:30:00+00:00,252.1199951171875,252.25999450683594,251.0399932861328,252.1649932861328,3045221,250.35000610351562,250.35000610351562,247.7899932861328,249.44000244140625,1259044,1197.6199951171875,1202.7799072265625,1194.199951171875,1198.550048828125,315827,221.10000610351562,221.10000610351562,219.5399932861328,220.88999938964844,3866159,757.5,758.75,752.5250854492188,757.1099853515625,575240
2025-09-24 16:30:00+00:00,252.17140197753906,252.25999450683594,251.33999633789062,251.49000549316406,1637321,249.4499969482422,249.5800018310547,248.89999389648438,249.40499877929688,613453,1198.6700439453125,1203.139892578125,1198.1961669921875,1200.0,146907,220.88490295410156,221.0500030517578,220.08999633789062,220.9199981689453,2500210,757.16748046875,757.3699951171875,752.530029296875,754.89990234375,464628
2025-09-24 17:30:00+00:00,251.51499938964844,252.11000061035156,251.27999877929688,251.76499938964844,1622724,249.41000366210938,249.52999877929688,247.22000122070312,247.8699951171875,931306,1200.1500244140625,1202.5909423828125,1196.1600341796875,1198.4599609375,178909,220.9102020263672,221.1999969482422,220.0800018310547,220.0850067138672,2386130,754.8900146484375,756.0,753.6701049804688,755.1649780273438,384280
2025-09-24 18:30:00+00:00,251.75,251.7899932861328,251.24000549316406,251.38999938964844,1680916,248.11000061035156,248.94500732421875,248.05999755859375,248.24000549316406,740759,1197.1700439453125,1200.7498779296875,1196.97998046875,1199.6700439453125,163282,220.11000061035156,220.48959350585938,219.77000427246094,219.77999877929688,2611737,755.469970703125,759.6300048828125,755.469970703125,759.4299926757812,478298
2025-09-24 19:30:00+00:00,251.38999938964844,252.49000549316406,251.2899932861328,252.24000549316406,2697400,248.22999572753906,248.27000427246094,247.3300018310547,247.77000427246094,1364225,1199.97998046875,1204.8199462890625,1198.9300537109375,1203.8499755859375,168081,219.77499389648438,220.35000610351562,219.4499969482422,220.2100067138672,3481261,759.2949829101562,761.1099243164062,757.8099975585938,760.7100219726562,786976
2025-09-25 13:30:00+00:00,253.0,254.1199951171875,251.71200561523438,254.0,8503081,243.5,246.83999633789062,241.64999389648438,246.27000427246094,4066310,1200.5,1215.5499267578125,1191.510009765625,1214.760009765625,414894,220.0,220.63319396972656,218.1999969482422,219.75990295410156,7841403,753.0,753.9598999023438,744.5499877929688,747.114990234375,2632316
