Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,NFLX,NFLX,NFLX,NFLX,NFLX,AAPL,AAPL,AAPL,AAPL,AAPL,GOOG,GOOG,GOOG,GOOG,GOOG,META,META,META,META,META
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-25 14:30:00+00:00,226.3800048828125,227.89999389648438,223.8000030517578,226.7100067138672,6943622,106.12000274658203,106.30000305175781,104.20999908447266,104.6449966430664,4578886,275.29998779296875,280.3800048828125,275.2699890136719,278.9049987792969,9723608,326.875,328.6700134277344,319.79998779296875,327.32000732421875,13790107,624.0250244140625,629.1799926757812,618.2999877929688,626.6950073242188,5320912
2025-11-25 15:30:00+00:00,226.69000244140625,228.42999267578125,226.35000610351562,227.77000427246094,2886746,104.6500015258789,104.81999969482422,104.0,104.4800033569336,2041834,278.8900146484375,279.6300048828125,277.7799987792969,277.8299865722656,2840433,327.2900085449219,328.1000061035156,317.81640625,320.67999267578125,6785175,626.625,629.780029296875,626.010009765625,626.760009765625,2211167
2025-11-25 16:30:00+00:00,227.7899932861328,230.07000732421875,227.5800018310547,229.25,3082617,104.4800033569336,105.0199966430664,104.2699966430664,104.93000030517578,1766192,277.82000732421875,279.30999755859375,277.5,279.0700988769531,2504679,320.6300048828125,322.17999267578125,318.80999755859375,321.4049987792969,2856517,626.739990234375,629.9598999023438,624.4299926757812,629.1649780273438,1306949
2025-11-25 17:30:00+00:00,229.25999450683594,229.89999389648438,229.02999877929688,229.55999755859375,2100070,104.94000244140625,105.20099639892578,104.68000030517578,104.70500183105469,1741808,279.0899963378906,279.3699951171875,278.2300109863281,278.760009765625,1925113,321.3699951171875,324.3299865722656,320.5299987792969,324.2300109863281,2349042,629.1699829101562,631.2999877929688,628.4400024414062,630.10498046875,1494571
2025-11-25 18:30:00+00:00,229.5500946044922,230.52000427246094,229.3699951171875,229.8000030517578,2146344,104.70999908447266,105.0,104.30999755859375,104.44000244140625,1637720,278.7650146484375,278.7799987792969,277.7900085449219,278.0350036621094,1727727,324.2200012207031,324.55999755859375,321.8299865722656,323.00799560546875,2197331,630.0999755859375,633.27001953125,630.010009765625,632.6900024414062,1447396
2025-11-25 19:30:00+00:00,229.8000030517578,229.9499969482422,228.7899932861328,229.49000549316406,2204594,104.44499969482422,104.55500030517578,104.30000305175781,104.49349975585938,1399600,278.0400085449219,278.1449890136719,277.49749755859375,277.56500244140625,1909795,323.0050048828125,323.760009765625,320.92999267578125,321.7001037597656,2028088,632.7650146484375,633.9249877929688,630.8900146484375,633.6500244140625,1375502
2025-11-25 20:30:00+00:00,229.49000549316406,229.99000549316406,229.13900756835938,229.60000610351562,2133973,104.48999786376953,104.66000366210938,103.81999969482422,104.30999755859375,4185784,277.55999755859375,278.0,276.8599853515625,276.95001220703125,2448205,321.7900085449219,324.4700012207031,321.70599365234375,323.6499938964844,1783916,633.6199951171875,637.0449829101562,633.5999755859375,636.219970703125,1975048
2025-11-26 14:30:00+00:00,230.74000549316406,230.80999755859375,228.77000427246094,230.51499938964844,5841042,105.76000213623047,106.80000305175781,105.22000122070312,106.08999633789062,5155578,276.9599914550781,279.0474853515625,276.6300048828125,277.80999755859375,5086107,320.7799987792969,324.9849853515625,317.20001220703125,318.2799987792969,7913875,637.6900024414062,638.3300170898438,631.6300048828125,635.4000244140625,3299699
