Ticker,META,META,META,META,META,AAPL,AAPL,AAPL,AAPL,AAPL,NFLX,NFLX,NFLX,NFLX,NFLX,AMZN,AMZN,AMZN,AMZN,AMZN,GOOG,GOOG,GOOG,GOOG,GOOG
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-14 13:30:00+00:00,708.0,710.989990234375,699.3300170898438,709.8980102539062,2649450,246.61500549316406,247.22999572753906,244.6999969482422,247.02000427246094,6901149,1214.75,1215.4150390625,1203.0999755859375,1215.1099853515625,595882,215.39999389648438,216.60000610351562,212.60000610351562,216.4250030517578,13903268,241.86000061035156,245.24000549316406,241.17750549316406,245.11000061035156,3262497
2025-10-14 14:30:00+00:00,709.8099975585938,712.1373291015625,707.8499755859375,710.8900146484375,744607,247.0,247.74989318847656,246.1199951171875,246.21400451660156,3292430,1215.1300048828125,1222.3699951171875,1213.363037109375,1216.02001953125,266233,216.4250030517578,217.06959533691406,215.97999572753906,216.4949951171875,5601692,245.0800018310547,246.60000610351562,244.83059692382812,246.11000061035156,2556920
2025-10-14 15:30:00+00:00,710.7949829101562,715.5399780273438,710.7949829101562,712.8699951171875,888374,246.22999572753906,247.75,246.1699981689453,247.38999938964844,2724013,1216.9300537109375,1223.8900146484375,1215.47998046875,1222.760009765625,203833,216.4949951171875,218.49989318847656,216.47000122070312,218.3000030517578,3960722,246.14999389648438,248.0240020751953,246.14999389648438,247.46499633789062,1681124
2025-10-14 16:30:00+00:00,712.8599853515625,714.9450073242188,711.739990234375,714.0499877929688,643456,247.38999938964844,248.035400390625,247.38499450683594,247.79800415039062,2048766,1223.8699951171875,1224.2899169921875,1217.31005859375,1218.2650146484375,163728,218.2899932861328,219.32000732421875,218.0399932861328,218.9199981689453,3463725,247.5,247.89500427246094,246.6367950439453,247.47999572753906,1026217
2025-10-14 17:30:00+00:00,714.0599975585938,714.0599975585938,710.2999877929688,711.2100219726562,510481,247.80999755859375,247.82000732421875,247.17999267578125,247.48500061035156,2132596,1218.219970703125,1222.4599609375,1216.8599853515625,1220.010009765625,154383,218.9250030517578,219.05999755859375,216.82000732421875,217.55999755859375,3966278,247.50999450683594,247.64999389648438,247.05999755859375,247.5500030517578,656961
2025-10-14 18:30:00+00:00,711.3900146484375,712.7399291992188,710.4000244140625,711.52001953125,531401,247.49000549316406,248.75,247.14439392089844,248.4199981689453,3822730,1220.010009765625,1220.5400390625,1214.43994140625,1215.8399658203125,178803,217.57000732421875,217.73500061035156,216.87339782714844,217.48500061035156,4374080,247.5189971923828,247.5189971923828,246.4857940673828,246.53500366210938,764146
2025-10-14 19:30:00+00:00,711.6199951171875,711.7769775390625,704.8599853515625,708.77001953125,1297305,248.42999267578125,248.84500122070312,246.72999572753906,247.85000610351562,4482259,1216.1650390625,1216.1800537109375,1210.010009765625,1215.72998046875,382074,217.49000549316406,217.52000427246094,215.3699951171875,216.44000244140625,5250080,246.5500030517578,246.5800018310547,244.5,246.19000244140625,1868966
2025-10-15 13:30:00+00:00,716.8599853515625,723.0499877929688,713.25,721.1749877929688,2619944,249.3800048828125,251.82000732421875,248.63999938964844,250.85000610351562,8163531,1213.010009765625,1218.0,1206.0,1214.1500244140625,417645,216.6999969482422,217.7100067138672,215.91009521484375,216.1999969482422,10791942,247.91000366210938,252.60000610351562,246.7899932861328,251.97000122070312,3814027
