Ticker,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,AAPL,AAPL,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,AMZN,AMZN,NFLX,NFLX,NFLX,NFLX,NFLX,META,META,META,META,META
Price,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-24 09:30:00-04:00,,,,,,,311.4700012207031,313.19989013671875,309.9700012207031,312.94000244140625,6606461,259.7464904785156,263.0899963378906,259.04998779296875,261.4100036621094,8452007,79.94000244140625,80.38999938964844,79.02010345458984,80.30999755859375,4671581,550.2000122070312,554.2797241210938,546.2999877929688,551.8699951171875,2648132
2026-08-24 10:30:00-04:00,,,,,,,312.92999267578125,313.3299865722656,311.5299987792969,312.239990234375,4358724,261.42498779296875,262.8299865722656,261.239990234375,262.6600036621094,2893260,80.30000305175781,80.33000183105469,79.75,80.19000244140625,2047245,551.719970703125,556.5399780273438,549.6599731445312,556.0900268554688,1424914
2026-08-24 11:30:00-04:00,,,,,,,312.239990234375,312.3900146484375,311.3399963378906,311.9285888671875,1959853,262.6400146484375,263.32000732421875,262.1700134277344,262.7449951171875,2480057,80.18000030517578,80.30000305175781,80.0,80.2300033569336,1800284,556.1649780273438,557.5,554.719970703125,555.4591064453125,1305068
2026-08-24 12:30:00-04:00,,,,,,,311.9100036621094,313.3599853515625,311.8599853515625,312.1199035644531,2194290,262.760009765625,263.2900085449219,261.8429870605469,261.8999938964844,1894391,80.2300033569336,80.55999755859375,80.13999938964844,80.47000122070312,1656154,555.4149780273438,558.989990234375,554.7005004882812,557.719970703125,1268616
2026-08-24 13:30:00-04:00,,,,,,,312.1189880371094,312.3500061035156,311.5,311.739990234375,1968689,261.8900146484375,263.0400085449219,261.5,262.7900085449219,1795684,80.46990203857422,80.62000274658203,80.43000030517578,80.5199966430664,2140401,557.6699829101562,560.9000244140625,556.0,560.1849975585938,1272370
2026-08-24 14:30:00-04:00,,,,,,,311.7200012207031,311.8399963378906,310.7200012207031,311.25,2188744,262.8299865722656,263.0,261.6499938964844,262.07000732421875,1938931,80.52999877929688,80.54000091552734,80.19000244140625,80.33499908447266,1918119,560.25,560.9500122070312,558.7899780273438,559.6699829101562,1270180
2026-08-24 15:30:00-04:00,,,,,,,311.2300109863281,311.2799072265625,310.1719970703125,310.3500061035156,3344226,262.1000061035156,262.6099853515625,261.75,262.0303955078125,2448524,80.33999633789062,80.48989868164062,80.0,80.01000213623047,2886308,559.6950073242188,561.4199829101562,558.9901123046875,559.1400146484375,1795786
2026-08-25 09:30:00-04:00,,,,,,,310.93499755859375,313.5799865722656,309.6499938964844,310.0849914550781,5344241,262.6000061035156,263.87188720703125,260.2799987792969,260.9599914550781,5167079,79.6500015258789,81.62000274658203,79.4000015258789,81.56999969482422,5468211,563.75,568.6400146484375,562.2000122070312,563.0534057617188,2145703
2026-08-25 10:30:00-04:00,,,,,,,310.0799865722656,310.7900085449219,308.3900146484375,309.3100891113281,2926335,260.9599914550781,261.43499755859375,260.3399963378906,260.5400085449219,2377261,81.58000183105469,81.7249984741211,80.94000244140625,81.63500213623047,3472320,562.9400024414062,565.8699951171875,561.4000854492188,563.39501953125,980957
2026-08-25 11:30:00-04:00,,,,,,,309.30999755859375,310.19000244140625,309.2200012207031,309.9549865722656,1906951,260.54998779296875,261.30999755859375,260.2799987792969,260.8900146484375,1885383,81.63999938964844,82.18499755859375,81.58999633789062,82.16999816894531,3410440,563.384521484375,566.25,563.1199951171875,565.77001953125,814800
2026-08-25 12:30:00-04:00,,,,,,,309.95001220703125,310.1000061035156,309.5,309.6549987792969,1332591,260.8900146484375,261.3900146484375,260.1199951171875,260.239990234375,1404072,82.16999816894531,82.32499694824219,82.05000305175781,82.15989685058594,2398454,565.739990234375,567.5250244140625,564.0,565.3200073242188,697735
2026-08-25 13:30:00-04:00,,,,,,,309.6549987792969,310.3399963378906,308.6099853515625,309.5400085449219,2457846,260.25,262.07000732421875,259.8299865722656,260.1000061035156,2263692,82.1500015258789,82.2699966430664,80.01000213623047,81.95999908447266,3020618,565.3419189453125,565.9600219726562,559.02001953125,565.0336303710938,569113
2026-08-25 14:30:00-04:00,,,,,,,309.55499267578125,309.6099853515625,308.2099914550781,308.9700927734375,2209356,260.1050109863281,260.889892578125,259.8699951171875,260.1199951171875,1852999,81.95500183105469,82.31999969482422,81.83499908447266,82.20999908447266,2637867,565.2899169921875,566.8599853515625,564.7100219726562,566.3400268554688,839948
2026-08-25 15:30:00-04:00,,,,,,,308.9700927734375,310.29998779296875,308.6199951171875,309.8299865722656,2846819,260.1300048828125,261.3323974609375,260.1050109863281,260.9700012207031,2629684,82.19999694824219,82.45500183105469,82.10009765625,82.25499725341797,3798991,566.3848266601562,570.7999877929688,566.3800048828125,569.864990234375,1761170
2026-08-26 09:30:00-04:00,,,,,,,310.2449951171875,313.4198913574219,308.80010986328125,311.7950134277344,5614805,260.7200012207031,262.04998779296875,258.8800048828125,259.05999755859375,4298023,81.875,82.41999816894531,81.29499816894531,82.125,6633605,590.4375,593.27001953125,561.9450073242188,574.0924072265625,14246200
