Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,NFLX,NFLX,NFLX,NFLX,NFLX,AMZN,AMZN,AMZN,AMZN,AMZN,META,META,META,META,META,GOOG,GOOG,GOOG,GOOG,GOOG
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-06 13:30:00+00:00,257.94500732421875,259.07000732421875,255.0500030517578,257.7799987792969,11669158,1160.3699951171875,1162.1199951171875,1150.5,1151.8699951171875,551078,220.9199981689453,220.9199981689453,216.02999877929688,218.3300018310547,13078703,705.0,706.6199951171875,690.6599731445312,700.93359375,7964634,246.13999938964844,249.66000366210938,245.69000244140625,246.09800720214844,4373843
2025-10-06 14:30:00+00:00,257.79998779296875,257.9800109863281,257.2799987792969,257.5513000488281,3447400,1151.0999755859375,1153.14501953125,1145.47998046875,1150.4000244140625,407082,218.3300018310547,219.16000366210938,218.2902069091797,219.10879516601562,4809466,701.260009765625,706.11669921875,699.0,703.5900268554688,2664362,246.0500030517578,247.28199768066406,246.0399932861328,247.0399932861328,1614988
2025-10-06 15:30:00+00:00,257.56500244140625,257.6700134277344,256.7699890136719,257.1300048828125,3501833,1150.4150390625,1153.43994140625,1146.989990234375,1150.0,240097,219.14599609375,220.43499755859375,219.0500030517578,219.60499572753906,4367656,703.6599731445312,708.030029296875,703.1599731445312,705.7999877929688,1677535,247.07989501953125,249.4199981689453,247.0500030517578,249.05499267578125,1251392
2025-10-06 16:30:00+00:00,257.1300048828125,257.4800109863281,256.1304931640625,256.55999755859375,2877222,1150.62255859375,1154.219970703125,1148.987548828125,1153.3304443359375,151067,219.60000610351562,220.5655059814453,219.5500030517578,220.24000549316406,2776867,705.7855834960938,709.9500122070312,705.52001953125,708.5651245117188,1489886,249.05999755859375,250.5,248.85000610351562,249.88999938964844,1568368
2025-10-06 17:30:00+00:00,256.54998779296875,256.68121337890625,255.5,256.18499755859375,5922536,1153.0899658203125,1161.97998046875,1152.9949951171875,1160.989990234375,233125,220.25,221.19000244140625,220.22999572753906,221.1699981689453,3683984,708.5374145507812,716.6900024414062,707.3200073242188,715.1199951171875,2070174,249.9199981689453,251.61929321289062,246.74000549316406,251.39999389648438,2780352
2025-10-06 18:30:00+00:00,256.1802062988281,256.6600036621094,256.06500244140625,256.510009765625,2693724,1161.25,1163.4849853515625,1159.0,1159.449951171875,197846,221.1750030517578,221.72999572753906,220.6750030517578,220.67999267578125,4525910,715.0612182617188,716.8800048828125,711.030029296875,711.2000122070312,1872354,251.39999389648438,252.1999969482422,251.00999450683594,251.2449951171875,1417102
2025-10-06 19:30:00+00:00,256.510009765625,257.25,256.4599914550781,256.6499938964844,3577742,1159.469970703125,1163.5799560546875,1157.5389404296875,1162.989990234375,481211,220.69000244140625,221.14999389648438,220.61160278320312,220.8800048828125,4100672,711.1199951171875,715.8300170898438,711.0999755859375,715.75,1909072,251.22500610351562,252.05999755859375,250.92100524902344,251.50999450683594,1941601
2025-10-07 13:30:00+00:00,256.82000732421875,257.3999938964844,256.2799987792969,256.67999267578125,6425357,1177.7900390625,1189.3499755859375,1177.7900390625,1184.3399658203125,939528,220.8800048828125,222.88999938964844,220.1699981689453,221.4669952392578,8154723,716.97998046875,718.4998779296875,708.260009765625,711.9400024414062,3135854,248.94500732421875,251.5500030517578,248.35000610351562,249.4499969482422,3686636
