Ticker,NFLX,NFLX,NFLX,NFLX,NFLX,GOOG,GOOG,GOOG,GOOG,GOOG,AAPL,AAPL,AAPL,AAPL,AAPL,META,META,META,META,META,AMZN,AMZN,AMZN,AMZN,AMZN
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-26 14:30:00+00:00,105.76000213623047,106.80000305175781,105.22000122070312,106.08999633789062,5155578,320.7799987792969,324.9849853515625,317.20001220703125,318.2799987792969,7913875,276.9599914550781,279.0474853515625,276.6300048828125,277.80999755859375,5086107,637.6900024414062,638.3300170898438,631.6300048828125,635.4000244140625,3299699,230.74000549316406,230.80999755859375,228.77000427246094,230.51499938964844,5841042
2025-11-26 15:30:00+00:00,106.08999633789062,106.66999816894531,106.04000091552734,106.30000305175781,2328286,318.2900085449219,320.45831298828125,317.510009765625,319.635009765625,2653850,277.7900085449219,279.1400146484375,276.80999755859375,279.0101013183594,2510611,635.4000244140625,638.2000122070312,634.510009765625,637.1900024414062,1076706,230.51499938964844,231.30999755859375,230.1199951171875,231.0841064453125,2659243
2025-11-26 16:30:00+00:00,106.30000305175781,106.94999694824219,106.02999877929688,106.61000061035156,1699400,319.6600036621094,320.20599365234375,318.489990234375,319.0899963378906,1991156,279.0299987792969,279.5299987792969,278.8699951171875,279.0790100097656,2586354,637.2999877929688,638.3300170898438,635.0700073242188,636.739990234375,907633,231.0998992919922,231.74740600585938,230.66000366210938,230.8800048828125,2039562
2025-11-26 17:30:00+00:00,106.625,106.6500015258789,106.01000213623047,106.45500183105469,1311396,319.0899963378906,319.7900085449219,318.2699890136719,319.6300048828125,1462437,279.07000732421875,279.2900085449219,278.0950012207031,278.54998779296875,1871279,636.739990234375,637.030029296875,633.8099975585938,635.5999755859375,731722,230.88330078125,230.99000549316406,229.44000244140625,230.7100067138672,2174338
2025-11-26 18:30:00+00:00,106.46219635009766,106.5250015258789,106.05000305175781,106.21009826660156,1083115,319.6300048828125,319.6700134277344,318.82000732421875,319.1499938964844,1134959,278.55999755859375,278.581787109375,277.92498779296875,278.260009765625,1426945,635.5499877929688,635.5499877929688,633.219970703125,633.9000244140625,657870,230.72430419921875,230.7449951171875,229.28939819335938,229.56500244140625,2207386
2025-11-26 19:30:00+00:00,106.22000122070312,106.33999633789062,105.81999969482422,105.86499786376953,1436535,319.1700134277344,319.7850036621094,318.70001220703125,319.6520080566406,1298734,278.2601013183594,278.94000244140625,278.010009765625,278.0799865722656,1953254,633.9199829101562,634.75,633.4600219726562,634.2050170898438,736714,229.57000732421875,229.7899932861328,229.0449981689453,229.42999267578125,2275778
2025-11-26 20:30:00+00:00,105.86100006103516,106.22000122070312,105.8499984741211,106.12000274658203,1782615,319.6499938964844,320.79998779296875,319.5,320.2799987792969,1926714,278.07000732421875,278.29998779296875,277.1499938964844,277.4700012207031,9116002,634.2050170898438,634.8599853515625,633.0700073242188,633.5499877929688,798363,229.4199981689453,229.80999755859375,229.05999755859375,229.1199951171875,2284974
2025-11-28 14:30:00+00:00,106.5,107.55000305175781,106.25,107.44000244140625,3326926,323.25,326.8800048828125,317.40008544921875,318.0799865722656,6500875,277.260009765625,278.23919677734375,276.0199890136719,276.260009765625,4040463,637.27001953125,643.1099853515625,635.5,641.385009765625,2303815,231.21499633789062,232.2100067138672,230.22999572753906,231.47999572753906,4867303
